TF	Target	Score
G35	G227	18.9028
G10	G1312	14.6392
G191	G962	13.2873
G141	G914	13.1327
G16	G1440	12.6672
G26	G741	12.2088
G115	G407	11.3417
G12	G461	11.0077
G38	G572	10.7172
G44	G617	10.6701
G187	G925	10.5049
G143	G35	10.4925
G19	G733	10.3789
G58	G1423	10.3611
G71	G1420	10.268
G121	G1215	10.2029
G92	G1525	10.0412
G115	G665	10.0279
G10	G121	10.0274
G158	G1434	9.99823
G84	G844	9.98335
G183	G522	9.96901
G92	G865	9.89819
G78	G1520	9.88811
G48	G1398	9.84706
G188	G938	9.81038
G48	G1488	9.80543
G136	G1089	9.80399
G6	G589	9.61662
G44	G314	9.59705
G14	G133	9.57918
G48	G1529	9.50794
G58	G1577	9.43652
G95	G1073	9.43206
G24	G1256	9.37506
G154	G1155	9.32212
G171	G661	9.26399
G128	G31	9.19999
G118	G792	9.16384
G92	G1060	9.15636
G95	G1224	9.12956
G187	G1254	9.12648
G26	G623	9.05163
G78	G65	9.04355
G16	G687	9.02917
G84	G454	9.01857
G177	G147	9.00445
G98	G710	9.00193
G117	G1095	8.9886
G178	G1625	8.93954
G48	G1419	8.89224
G48	G965	8.88595
G84	G252	8.85979
G134	G448	8.81694
G16	G1229	8.81588
G192	G626	8.80554
G136	G1300	8.80055
G171	G1270	8.68844
G84	G1215	8.68653
G52	G1612	8.68081
G57	G27	8.67738
G176	G1368	8.66511
G44	G1493	8.66193
G141	G991	8.61377
G97	G1093	8.60033
G109	G1406	8.59708
G48	G981	8.59419
G158	G1097	8.5916
G44	G368	8.57524
G195	G897	8.49346
G106	G129	8.4684
G84	G121	8.39294
G84	G555	8.38837
G192	G161	8.33418
G27	G57	8.28421
G122	G1191	8.26599
G144	G250	8.24823
G158	G383	8.23382
G10	G299	8.22161
G98	G1515	8.21297
G84	G590	8.17474
G155	G351	8.17113
G127	G353	8.17111
G171	G488	8.15253
G51	G1615	8.14092
G49	G978	8.10366
G84	G156	8.09773
G187	G72	8.08409
G188	G136	8.08173
G48	G537	8.07473
G171	G389	8.04484
G95	G199	8.02931
G84	G1377	7.96939
G98	G440	7.9229
G84	G139	7.89363
G126	G672	7.88566
G182	G1277	7.82557
G78	G1001	7.82471
G32	G1169	7.81565
G119	G809	7.79316
G100	G1102	7.78335
G110	G1329	7.77157
G38	G324	7.77147
G133	G691	7.75796
G120	G627	7.75305
G109	G608	7.74894
G171	G1105	7.73755
G136	G1092	7.73631
G115	G373	7.70494
G182	G1303	7.70407
G108	G110	7.70372
G21	G830	7.69687
G194	G1405	7.69659
G115	G1438	7.68681
G35	G143	7.68163
G192	G807	7.6553
G52	G1204	7.62298
G26	G647	7.62125
G134	G426	7.61333
G194	G1392	7.61153
G120	G813	7.60643
G44	G1005	7.59827
G44	G947	7.54895
G171	G1179	7.53586
G169	G895	7.52604
G48	G1366	7.50169
G151	G1606	7.49176
G2	G663	7.45979
G119	G641	7.4543
G82	G804	7.44303
G26	G1299	7.4038
G78	G619	7.38598
G137	G1225	7.3777
G188	G1092	7.37275
G153	G266	7.36693
G99	G126	7.35234
G78	G1098	7.32639
G44	G486	7.32621
G171	G347	7.32103
G107	G559	7.31839
G178	G1156	7.31553
G136	G1119	7.28879
G10	G1215	7.26238
G38	G182	7.24435
G194	G1492	7.24212
G84	G1244	7.23841
G174	G322	7.20018
G171	G1334	7.19473
G136	G318	7.18645
G136	G134	7.1742
G112	G439	7.1733
G194	G563	7.16437
G182	G226	7.16351
G71	G460	7.15707
G84	G337	7.15082
G191	G289	7.11417
G141	G323	7.10573
G176	G423	7.09
G141	G194	7.06603
G48	G698	7.03819
G16	G1380	7.02181
G97	G1308	7.00903
G195	G330	7.00476
G4	G1082	6.99782
G92	G436	6.97964
G95	G1106	6.97518
G171	G1002	6.96366
G88	G1093	6.9533
G163	G408	6.95092
G48	G462	6.94888
G110	G1280	6.94572
G110	G1532	6.94346
G121	G1639	6.94167
G136	G1328	6.93899
G110	G682	6.92398
G155	G1064	6.92236
G7	G327	6.90395
G30	G690	6.90199
G171	G1200	6.88847
G120	G1262	6.88019
G8	G180	6.87833
G4	G1341	6.8628
G110	G1495	6.85391
G69	G893	6.85251
G113	G1567	6.84752
G122	G785	6.84611
G13	G1528	6.82981
G90	G35	6.82385
G167	G815	6.81634
G108	G827	6.81412
G32	G730	6.8135
G156	G1322	6.79343
G99	G1389	6.78121
G111	G381	6.78054
G30	G395	6.77245
G134	G85	6.76775
G115	G1638	6.76412
G84	G524	6.73329
G4	G1434	6.72958
G187	G1408	6.72674
G48	G840	6.72507
G38	G1365	6.72114
G63	G417	6.71567
G171	G580	6.71244
G106	G581	6.7029
G84	G498	6.6992
G78	G1013	6.68744
G43	G883	6.68649
G84	G1275	6.68482
G129	G1084	6.68359
G88	G1126	6.68053
G84	G1250	6.67911
G187	G55	6.65741
G44	G1512	6.64017
G62	G494	6.63641
G141	G646	6.63574
G188	G1489	6.62694
G131	G1639	6.62555
G115	G1574	6.62002
G180	G400	6.61872
G12	G1526	6.60691
G176	G1059	6.59651
G34	G534	6.57589
G147	G177	6.5749
G136	G1562	6.55511
G48	G1006	6.55333
G182	G742	6.54601
G44	G575	6.52224
G65	G1094	6.51822
G121	G236	6.51713
G178	G110	6.50761
G115	G1128	6.50421
G146	G476	6.49467
G52	G837	6.48721
G132	G1584	6.4837
G126	G99	6.45109
G48	G1557	6.4451
G167	G446	6.43481
G115	G1173	6.43463
G178	G1632	6.43334
G12	G1214	6.42819
G91	G307	6.42672
G174	G1474	6.41818
G178	G781	6.41324
G12	G717	6.3964
G189	G1093	6.38924
G126	G1050	6.38897
G182	G993	6.38034
G134	G999	6.37928
G129	G752	6.37916
G75	G103	6.37076
G182	G1452	6.37075
G187	G1416	6.36736
G13	G387	6.36451
G144	G570	6.36058
G194	G1283	6.34012
G99	G1441	6.3291
G128	G1467	6.30683
G12	G1013	6.30419
G150	G503	6.30058
G35	G795	6.28149
G178	G1313	6.26535
G110	G1445	6.25676
G10	G131	6.25618
G84	G602	6.25072
G48	G835	6.21209
G171	G764	6.21108
G106	G1215	6.21035
G187	G126	6.20486
G55	G686	6.20057
G121	G1048	6.20051
G48	G972	6.19512
G62	G360	6.19441
G134	G15	6.19131
G188	G1508	6.18336
G120	G1101	6.1786
G120	G1580	6.17518
G119	G1318	6.1747
G71	G990	6.16629
G160	G490	6.15635
G139	G405	6.1426
G6	G604	6.13606
G84	G1543	6.13161
G107	G1623	6.13107
G191	G1348	6.12618
G120	G656	6.12321
G110	G1313	6.11905
G93	G1143	6.10691
G48	G296	6.10628
G180	G1395	6.10461
G48	G1411	6.10197
G185	G435	6.09978
G115	G378	6.09497
G48	G847	6.09016
G52	G767	6.07273
G134	G318	6.06074
G141	G818	6.05524
G139	G176	6.03927
G44	G328	6.03499
G92	G1141	6.0335
G171	G265	6.02778
G187	G500	6.02111
G178	G567	6.02094
G182	G609	6.01203
G11	G1533	6.00064
G158	G696	5.98474
G66	G1168	5.97955
G98	G1167	5.97437
G80	G494	5.95261
G158	G4	5.93667
G13	G805	5.93491
G108	G135	5.93462
G43	G499	5.93111
G108	G1604	5.93087
G48	G1184	5.92597
G13	G1643	5.92468
G59	G452	5.91837
G102	G173	5.91333
G35	G90	5.91134
G158	G1359	5.90498
G72	G187	5.8993
G120	G345	5.89915
G48	G1588	5.89286
G134	G136	5.88764
G84	G1291	5.88714
G53	G704	5.88471
G35	G1494	5.88385
G48	G306	5.87712
G194	G991	5.8678
G84	G354	5.86318
G188	G1562	5.85301
G171	G1599	5.84844
G121	G388	5.82924
G187	G737	5.81965
G97	G210	5.81745
G163	G311	5.81193
G141	G1148	5.80983
G48	G719	5.80329
G111	G548	5.8006
G92	G738	5.80014
G52	G1463	5.79953
G171	G1436	5.79803
G158	G751	5.79537
G127	G260	5.79282
G153	G337	5.79279
G72	G1274	5.78784
G39	G478	5.78435
G73	G961	5.76656
G194	G1301	5.76188
G136	G721	5.73878
G131	G272	5.73738
G43	G1384	5.72977
G44	G208	5.72899
G110	G1625	5.72816
G48	G1251	5.72776
G182	G1409	5.72504
G110	G632	5.7118
G158	G1136	5.70778
G84	G1322	5.70581
G84	G812	5.70539
G48	G365	5.70337
G44	G638	5.69689
G163	G304	5.69579
G171	G1344	5.69257
G83	G909	5.69249
G38	G309	5.68856
G36	G195	5.68693
G16	G1368	5.68331
G44	G650	5.68331
G84	G493	5.67686
G115	G598	5.67671
G35	G326	5.67652
G8	G843	5.6759
G171	G1314	5.66796
G97	G1161	5.66704
G77	G1565	5.6555
G84	G261	5.65029
G97	G234	5.64723
G84	G1579	5.64132
G136	G417	5.62836
G141	G563	5.62304
G44	G868	5.62113
G95	G402	5.61759
G158	G1082	5.61733
G176	G940	5.61338
G176	G1330	5.61107
G13	G243	5.60988
G48	G1576	5.60743
G34	G1215	5.60623
G167	G1162	5.60553
G84	G892	5.60115
G121	G569	5.59509
G136	G63	5.59417
G176	G367	5.59127
G136	G1324	5.58596
G120	G945	5.57605
G83	G247	5.56756
G84	G662	5.5667
G182	G763	5.5587
G115	G297	5.55746
G178	G1074	5.55152
G83	G591	5.53718
G136	G380	5.53478
G120	G501	5.52834
G120	G97	5.52159
G110	G567	5.51287
G33	G24	5.51142
G27	G2	5.49727
G122	G323	5.49413
G84	G266	5.49397
G156	G511	5.49358
G48	G700	5.48969
G39	G670	5.47884
G92	G1386	5.47515
G134	G941	5.47101
G48	G1535	5.46564
G158	G491	5.4553
G92	G1287	5.45055
G100	G606	5.44822
G121	G982	5.44172
G33	G1249	5.4399
G122	G755	5.43081
G37	G25	5.42242
G16	G526	5.42218
G134	G1025	5.42184
G44	G994	5.41746
G143	G1494	5.41284
G48	G585	5.40973
G194	G818	5.40704
G120	G39	5.40199
G136	G339	5.40035
G48	G202	5.39591
G178	G1388	5.39375
G141	G775	5.38614
G74	G479	5.37397
G158	G1341	5.3652
G192	G1253	5.36381
G171	G1593	5.34332
G156	G337	5.33136
G101	G1555	5.3246
G171	G1185	5.32207
G160	G38	5.30981
G125	G683	5.30704
G34	G156	5.30323
G10	G995	5.30245
G68	G976	5.30209
G188	G339	5.30123
G156	G1624	5.29382
G98	G531	5.29289
G134	G1092	5.28972
G88	G1101	5.28344
G119	G374	5.27436
G188	G448	5.26277
G44	G1290	5.26151
G84	G881	5.25975
G167	G1130	5.25521
